Date	Month	Collection	Owner	Brand	Pack Size	Pack Type	Queries	SizeOfReturnedData	ResponseTimes(ms)	Price
01/01/2011	Jan-11	br.collection.name.shops	Aperture	Delta	12	Standard	1765	97.25	242.48	54.08
01/01/2011	Jan-11	br.collection.name.shops	Aperture	Eta	12	Standard	673	13.41	81.12	47.44
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Omicron	8	Standard	1100	99.16	232.52	83.2
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Omicron	12	Deluxe	548	89.68	124.24	89.24
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Omicron	12	Giftset	3307	98.19	684.61	81.48
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Omicron	12	Standard	9596	99.52	1682.63	69.02
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Omicron	18	Standard	6629	96.28	1040.66	61.79
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Sigma	12	Giftset	695	71.18	268.66	152.16
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Sigma	12	Standard	707	92.19	259.01	144.2
01/01/2011	Jan-11	uk.collection.name.shops	Aperture	Tau	12	Standard	1110	83.38	180.27	63.92
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Epsilon	12	Standard	1207	82.07	160.6	52.37
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Iota	12	Giftset	610	93.91	141.59	91.36
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Iota	12	Standard	1096	95.69	228.85	82.19
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Lambda	8	Standard	469	73.82	78.61	65.97
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Lambda	12	Standard	2948	99.48	428.02	57.15
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Mu	12	Standard	105	25.45	42.87	160.7
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	6	Standard	133	16.45	33.01	97.68
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	8	Standard	890	99.34	197.9	87.52
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	12	Deluxe	1693	94.55	331.67	77.11
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	12	Giftset	6623	99.42	1286.07	76.43
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	12	Standard	4514	100	835.12	72.82
01/01/2011	Jan-11	uk.collection.name.shops	Black Mesa	Theta	18	Standard	16594	98.39	2538.91	60.22
01/01/2011	Jan-11	uk.collection.name.shops	LexCorp	Gamma	12	Standard	2600	98.33	412.96	62.52
01/01/2011	Jan-11	uk.collection.name.shops	MomCorp	Alpha	12	Standard	396	70.78	90.33	89.79
01/01/2011	Jan-11	uk.collection.name.shops	MomCorp	Alpha	18	Standard	1575	92.19	291.34	72.81
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	8	Standard	735	92.28	213.47	114.32
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	12	Deluxe	688	64.09	202.96	116.11
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	12	Giftset	1727	95.62	502.84	114.61
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	12	Standard	7383	99.2	1813.61	96.69
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	18	Standard	4094	96.81	947.14	91.06
01/01/2011	Jan-11	uk.collection.name.shops	Rekall	Beta	60	Standard	893	54.39	229.35	101.09
01/01/2011	Jan-11	uk.collection.name.shops	Stark Ind	Omega	12	Standard	979	72.03	143.24	57.59
01/01/2011	Jan-11	br.wifi.events	Tyrell Corp	Kappa	8	Standard	872	96.5	173.99	78.54
01/01/2011	Jan-11	br.wifi.events	Tyrell Corp	Kappa	12	Standard	1891	96.8	342.34	71.26
01/01/2011	Jan-11	uk.wifi.events	Tyrell Corp	Kappa	18	Standard	3067	96.63	517.01	66.35
01/01/2011	Jan-11	uk.wifi.events	Wayne Ent	Pi	12	Giftset	804	79.48	158	77.35
01/01/2011	Jan-11	br.wifi.available.dates	Aperture	Delta	12	Standard	838	19.08	128.27	60.25
01/01/2011	Jan-11	br.wifi.available.dates	Aperture	Eta	12	Standard	752	4.15	90.74	47.49
01/01/2011	Jan-11	br.wifi.available.dates	Aperture	Omicron	8	Standard	18593	50.48	3402.59	72.03
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Omicron	12	Deluxe	383	9.96	95.6	98.24
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Omicron	12	Giftset	3831	33.52	842.93	86.61
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Omicron	12	Standard	10205	36.64	1861.81	71.81
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Omicron	18	Standard	4793	27.97	804.73	66.08
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Sigma	12	Giftset	346	10.99	151.96	172.86
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Sigma	12	Standard	632	15.6	253.64	157.97
01/01/2011	Jan-11	uk.wifi.available.dates	Aperture	Tau	12	Standard	461	11.87	81.4	69.5
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Epsilon	12	Standard	767	11.92	110.11	56.5
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Iota	12	Giftset	728	15.17	170.12	91.98
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Iota	12	Standard	563	13.72	128.81	90.05
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Lambda	8	Standard	383	10.71	68.37	70.26
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Lambda	12	Standard	1884	27.35	300.7	62.82
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Mu	12	Standard	291	7.97	120.03	162.35
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	6	Standard	344	9.04	88.04	100.74
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	8	Standard	1871	27.21	441.28	92.83
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	12	Deluxe	1461	13.26	292.75	78.87
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	12	Giftset	2836	24.5	607.58	84.33
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	12	Standard	22206	62.89	3535.31	62.66
01/01/2011	Jan-11	uk.wifi.available.dates	Black Mesa	Theta	18	Standard	5645	26.43	936.38	65.29
01/01/2011	Jan-11	uk.wifi.available.dates	LexCorp	Gamma	12	Standard	1748	27.13	306.25	68.96
01/01/2011	Jan-11	uk.wifi.available.dates	MomCorp	Alpha	12	Standard	847	15.15	191.99	89.22
01/01/2011	Jan-11	uk.wifi.available.dates	MomCorp	Alpha	18	Standard	319	6.42	64.66	79.78
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	8	Standard	945	20.81	304.27	126.73
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	12	Deluxe	485	12.16	151.64	123.07
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	12	Giftset	930	18.22	306.67	129.79
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	12	Standard	6137	34.02	1596.6	102.4
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	18	Standard	1915	17.06	470.81	96.77
01/01/2011	Jan-11	uk.wifi.available.dates	Rekall	Beta	60	Standard	107	2.39	34.16	125.65
